,occurtime,power
146,2020-12-10 12:15:00,0.0
147,2020-12-10 12:20:00,0.0
148,2020-12-10 12:25:00,0.0
149,2020-12-10 12:30:00,130.24
150,2020-12-10 12:35:00,125.92
151,2020-12-10 12:40:00,124.24
152,2020-12-10 12:45:00,0.0
153,2020-12-10 12:50:00,0.0
154,2020-12-10 12:55:00,0.0
155,2020-12-10 13:00:00,0.0
156,2020-12-10 13:05:00,130.48
157,2020-12-10 13:10:00,126.8
158,2020-12-10 13:15:00,126.8
159,2020-12-10 13:20:00,124.08
160,2020-12-10 13:25:00,0.0
161,2020-12-10 13:30:00,0.0
162,2020-12-10 13:35:00,0.0
163,2020-12-10 13:40:00,0.0
164,2020-12-10 13:45:00,129.68
165,2020-12-10 13:50:00,126.48
166,2020-12-10 14:00:00,124.32
167,2020-12-10 14:05:00,0.0
168,2020-12-10 14:10:00,0.0
169,2020-12-10 14:15:00,0.0
170,2020-12-10 14:20:00,142.32
171,2020-12-10 14:25:00,129.84
172,2020-12-10 14:30:00,126.32
173,2020-12-10 14:35:00,122.72
174,2020-12-10 14:40:00,0.0
175,2020-12-10 14:45:00,0.0
176,2020-12-10 14:50:00,0.0
177,2020-12-10 14:55:00,0.0
178,2020-12-10 15:00:00,127.36
179,2020-12-10 15:05:00,124.88
180,2020-12-10 15:10:00,121.76
181,2020-12-10 15:15:00,0.0
182,2020-12-10 15:20:00,0.0
183,2020-12-10 15:25:00,0.0
184,2020-12-10 15:30:00,149.04
185,2020-12-10 15:35:00,132.56
186,2020-12-10 15:40:00,127.2
187,2020-12-10 15:45:00,126.16
188,2020-12-10 15:50:00,121.44
189,2020-12-10 15:55:00,121.12
190,2020-12-10 16:00:00,122.0
191,2020-12-10 16:05:00,120.64
192,2020-12-10 16:10:00,0.0
193,2020-12-10 16:15:00,0.0
194,2020-12-10 16:20:00,0.0
195,2020-12-10 16:25:00,131.04
196,2020-12-10 16:30:00,125.52
197,2020-12-10 16:35:00,122.64
198,2020-12-10 16:40:00,123.28
199,2020-12-10 16:45:00,120.4
200,2020-12-10 16:50:00,120.88
201,2020-12-10 16:55:00,0.0
202,2020-12-10 17:00:00,0.0
203,2020-12-10 17:05:00,0.0
204,2020-12-10 17:10:00,156.64
205,2020-12-10 17:15:00,129.28
206,2020-12-10 17:20:00,125.44
207,2020-12-10 17:25:00,124.64
208,2020-12-10 17:30:00,123.04
209,2020-12-10 17:35:00,0.0
210,2020-12-10 17:40:00,0.0
211,2020-12-10 17:45:00,0.0
212,2020-12-10 17:50:00,0.0
213,2020-12-10 17:55:00,131.2
214,2020-12-10 18:00:00,124.72
215,2020-12-10 18:05:00,124.64
216,2020-12-10 18:10:00,121.68
217,2020-12-10 18:15:00,120.08
218,2020-12-10 18:20:00,0.0
219,2020-12-10 18:25:00,0.0
220,2020-12-10 18:30:00,0.0
221,2020-12-10 18:35:00,0.0
222,2020-12-10 18:40:00,124.24
223,2020-12-10 18:45:00,122.08
224,2020-12-10 18:50:00,121.6
225,2020-12-10 18:55:00,117.92
226,2020-12-10 19:00:00,118.96
227,2020-12-10 19:05:00,0.0
228,2020-12-10 19:10:00,0.0
229,2020-12-10 19:15:00,0.0
230,2020-12-10 19:20:00,0.0
231,2020-12-10 19:25:00,126.88
232,2020-12-10 19:30:00,123.44
233,2020-12-10 19:35:00,121.6
234,2020-12-10 19:40:00,123.12
235,2020-12-10 19:45:00,120.96
236,2020-12-10 19:50:00,0.0
237,2020-12-10 19:55:00,0.0
238,2020-12-10 20:00:00,0.0
239,2020-12-10 20:05:00,128.0
240,2020-12-10 20:10:00,121.6
241,2020-12-10 20:15:00,120.32
242,2020-12-10 20:20:00,118.64
243,2020-12-10 20:25:00,117.28
244,2020-12-10 20:30:00,0.0
245,2020-12-10 20:35:00,0.0
246,2020-12-10 20:40:00,0.0
247,2020-12-10 20:45:00,134.96
