occurtime,power
2021-01-15_17:50:00,3.44
2021-01-15_17:55:00,3.44
2021-01-15_18:00:00,3.52
2021-01-15_18:05:00,3.44
2021-01-15_18:10:00,3.36
2021-01-15_18:15:00,3.44
2021-01-15_18:20:00,3.76
2021-01-15_18:25:00,3.44
2021-01-15_18:30:00,3.44
2021-01-15_18:35:00,3.32
2021-01-15_18:40:00,3.44
2021-01-15_18:45:00,12.08
2021-01-15_18:50:00,6.4
2021-01-15_18:55:00,31.44
2021-01-15_19:00:00,190.64
2021-01-15_19:05:00,6.24
2021-01-15_19:10:00,75.6
2021-01-15_19:15:00,1819.6
2021-01-15_19:20:00,83.6
2021-01-15_19:25:00,6.16
2021-01-15_19:30:00,80.88
2021-01-15_19:35:00,83.92
2021-01-15_19:40:00,52.32
2021-01-15_19:45:00,79.76
2021-01-15_19:50:00,6.24
2021-01-15_19:55:00,88.48
2021-01-15_20:00:00,89.44
2021-01-15_20:05:00,6.16
2021-01-15_20:10:00,87.84
2021-01-15_20:15:00,48.64
2021-01-15_20:20:00,94.72
2021-01-15_20:25:00,90.96
2021-01-15_20:30:00,10.0
2021-01-15_20:35:00,89.44
2021-01-15_20:40:00,84.32
2021-01-15_20:45:00,35.84
2021-01-15_20:50:00,22.88
2021-01-15_20:55:00,23.68
2021-01-15_21:00:00,6.0
2021-01-15_21:05:00,55.36
2021-01-15_21:10:00,181.76
2021-01-15_21:15:00,19.52
2021-01-15_21:20:00,3.68
2021-01-15_21:25:00,3.6
2021-01-15_21:30:00,3.36
2021-01-15_21:35:00,3.76
2021-01-15_21:40:00,3.28
2021-01-15_21:45:00,123.28
2021-01-15_21:50:00,1880.16
2021-01-15_21:55:00,1857.52
2021-01-15_22:00:00,1870.64
2021-01-15_22:05:00,1895.52
2021-01-15_22:15:00,0.0
2021-01-15_22:20:00,0.0
2021-01-15_22:30:00,6.16
2021-01-15_22:35:00,6.0
2021-01-15_22:40:00,31.44
2021-01-15_22:45:00,21.12
2021-01-15_22:50:00,251.28
2021-01-15_22:55:00,3.76
2021-01-15_23:00:00,3.52
2021-01-15_23:05:00,6.56
2021-01-15_23:10:00,1919.2
2021-01-15_23:15:00,1889.76
2021-01-15_23:20:00,1868.64
2021-01-15_23:25:00,1872.24
2021-01-15_23:30:00,1870.24
2021-01-15_23:35:00,144.32
2021-01-15_23:40:00,6.0
2021-01-15_23:45:00,6.0
2021-01-15_23:50:00,220.0
2021-01-15_23:55:00,80.96
2021-01-16_00:00:00,235.2
2021-01-16_00:05:00,3.68
2021-01-16_00:10:00,3.44
2021-01-16_00:15:00,3.44
2021-01-16_00:20:00,6.16
2021-01-16_00:25:00,75.68
2021-01-16_00:30:00,158.56
2021-01-16_00:35:00,159.84
2021-01-16_00:40:00,3.76
2021-01-16_00:45:00,3.36
2021-01-16_00:50:00,3.41
2021-01-16_00:55:00,3.42
2021-01-16_01:00:00,3.37
2021-01-16_01:05:00,3.35
2021-01-16_01:10:00,3.4
2021-01-16_01:15:00,3.44
2021-01-16_01:20:00,3.44
2021-01-16_01:25:00,3.44
2021-01-16_01:30:00,3.52
2021-01-16_01:35:00,3.44
2021-01-16_01:40:00,3.44
2021-01-16_01:45:00,3.44
2021-01-16_01:50:00,3.44
2021-01-16_01:55:00,3.44
2021-01-16_02:00:00,3.44
2021-01-16_02:05:00,3.44
2021-01-16_02:10:00,3.44
2021-01-16_02:15:00,3.44
2021-01-16_02:20:00,3.52
2021-01-16_02:25:00,3.52
2021-01-16_02:30:00,3.44
2021-01-16_02:35:00,3.38
2021-01-16_02:40:00,3.41
2021-01-16_02:45:00,3.44
2021-01-16_02:50:00,3.36
2021-01-16_02:55:00,3.42
2021-01-16_03:00:00,3.44
2021-01-16_03:05:00,3.41
2021-01-16_03:10:00,3.36
2021-01-16_03:20:00,3.39
2021-01-16_03:25:00,3.44
2021-01-16_03:30:00,3.44
2021-01-16_03:35:00,3.44
2021-01-16_03:40:00,3.44
2021-01-16_03:45:00,3.44
2021-01-16_03:50:00,3.44
2021-01-16_03:55:00,3.52
2021-01-16_04:00:00,3.44
2021-01-16_04:05:00,3.44
2021-01-16_04:10:00,3.33
2021-01-16_04:15:00,3.34
2021-01-16_04:20:00,3.41
2021-01-16_04:25:00,2.99
2021-01-16_04:30:00,3.39
2021-01-16_04:35:00,3.44
2021-01-16_04:45:00,3.44
2021-01-16_04:50:00,3.42
2021-01-16_04:55:00,3.44
2021-01-16_05:00:00,3.44
2021-01-16_05:05:00,3.44
2021-01-16_05:10:00,3.44
2021-01-16_05:15:00,3.42
2021-01-16_05:20:00,3.44
2021-01-16_05:25:00,3.44
2021-01-16_05:30:00,3.44
2021-01-16_05:35:00,3.44
2021-01-16_05:40:00,3.44
2021-01-16_05:45:00,3.36
2021-01-16_05:50:00,3.44
2021-01-16_05:55:00,3.44
2021-01-16_06:00:00,3.44
2021-01-16_06:05:00,3.3
2021-01-16_06:10:00,3.44
2021-01-16_06:15:00,3.44
2021-01-16_06:20:00,3.44
2021-01-16_06:25:00,3.36
2021-01-16_06:30:00,3.36
2021-01-16_06:35:00,3.44
2021-01-16_06:40:00,3.42
2021-01-16_06:45:00,3.42
2021-01-16_06:50:00,3.41
2021-01-16_06:55:00,3.44
2021-01-16_07:00:00,3.4
2021-01-16_07:05:00,3.42
2021-01-16_07:10:00,3.44
2021-01-16_07:15:00,3.42
2021-01-16_07:20:00,3.36
2021-01-16_07:25:00,3.36
2021-01-16_07:30:00,3.44
2021-01-16_07:35:00,3.44
2021-01-16_07:40:00,3.42
2021-01-16_07:45:00,3.44
2021-01-16_07:50:00,3.44
2021-01-16_07:55:00,3.44
2021-01-16_08:00:00,3.44
2021-01-16_08:05:00,3.44
2021-01-16_08:10:00,3.44
2021-01-16_08:15:00,3.44
2021-01-16_08:20:00,3.39
2021-01-16_08:25:00,3.44
2021-01-16_08:30:00,3.44
2021-01-16_08:35:00,3.44
2021-01-16_08:40:00,3.44
2021-01-16_08:45:00,3.44
2021-01-16_08:50:00,3.44
2021-01-16_08:55:00,3.22
2021-01-16_09:00:00,3.44
2021-01-16_09:05:00,3.44
2021-01-16_09:10:00,3.44
2021-01-16_09:15:00,3.44
2021-01-16_09:20:00,3.44
2021-01-16_09:25:00,3.44
2021-01-16_09:30:00,3.44
2021-01-16_09:35:00,3.44
2021-01-16_09:40:00,3.44
2021-01-16_09:45:00,3.44
2021-01-16_09:50:00,3.44
2021-01-16_09:55:00,3.44
2021-01-16_10:00:00,3.52
2021-01-16_10:05:00,3.44
2021-01-16_10:10:00,3.44
2021-01-16_10:15:00,3.44
2021-01-16_10:20:00,3.44
2021-01-16_10:25:00,3.44
2021-01-16_10:30:00,3.44
2021-01-16_10:35:00,3.44
2021-01-16_10:40:00,3.52
2021-01-16_10:45:00,3.39
2021-01-16_10:50:00,3.44
2021-01-16_10:55:00,3.44
2021-01-16_11:00:00,3.44
2021-01-16_11:05:00,3.44
2021-01-16_11:10:00,3.44
2021-01-16_11:15:00,3.37
2021-01-16_11:20:00,3.44
2021-01-16_11:25:00,3.44
2021-01-16_11:30:00,3.44
2021-01-16_11:35:00,3.44
2021-01-16_11:40:00,3.44
2021-01-16_11:45:00,3.44
2021-01-16_11:50:00,3.44
2021-01-16_11:55:00,3.44
2021-01-16_12:00:00,3.44
2021-01-16_12:05:00,3.41
2021-01-16_12:10:00,3.37
2021-01-16_12:15:00,3.44
2021-01-16_12:20:00,3.42
2021-01-16_12:25:00,3.42
2021-01-16_12:30:00,3.36
2021-01-16_12:35:00,3.44
2021-01-16_12:40:00,3.44
2021-01-16_12:45:00,3.44
2021-01-16_12:50:00,3.44
2021-01-16_12:55:00,3.44
2021-01-16_13:00:00,3.44
2021-01-16_13:05:00,3.44
2021-01-16_13:10:00,3.36
2021-01-16_13:15:00,3.44
2021-01-16_13:20:00,3.44
2021-01-16_13:25:00,3.44
2021-01-16_13:30:00,3.44
2021-01-16_13:35:00,3.44
2021-01-16_13:40:00,3.52
2021-01-16_13:45:00,3.44
2021-01-16_13:50:00,3.36
2021-01-16_13:55:00,3.44
2021-01-16_14:00:00,3.44
2021-01-16_14:05:00,3.44
2021-01-16_14:10:00,3.44
2021-01-16_14:15:00,3.44
2021-01-16_14:20:00,3.44
2021-01-16_14:25:00,3.44
2021-01-16_14:30:00,3.44
2021-01-16_14:35:00,3.42
2021-01-16_14:40:00,3.36
2021-01-16_14:45:00,3.44
2021-01-16_14:50:00,3.44
2021-01-16_14:55:00,3.52
2021-01-16_15:00:00,3.52
2021-01-16_15:05:00,3.44
2021-01-16_15:10:00,3.52
