occurtime,power
2020-12-10_23:35:00,0.0
2020-12-10_23:40:00,127.6
2020-12-10_23:45:00,120.24
2020-12-10_23:50:00,120.96
2020-12-10_23:55:00,120.4
2020-12-11_00:00:00,118.64
2020-12-11_00:05:00,0.0
2020-12-11_00:10:00,0.0
2020-12-11_00:15:00,0.0
2020-12-11_00:20:00,0.0
2020-12-11_00:25:00,125.92
2020-12-11_00:30:00,121.6
2020-12-11_00:35:00,121.2
2020-12-11_00:40:00,119.76
2020-12-11_00:45:00,118.88
2020-12-11_00:50:00,0.0
2020-12-11_00:55:00,0.0
2020-12-11_01:00:00,0.0
2020-12-11_01:05:00,152.4
2020-12-11_01:10:00,125.44
2020-12-11_01:15:00,122.24
2020-12-11_01:20:00,121.12
2020-12-11_01:25:00,120.96
2020-12-11_01:30:00,0.0
2020-12-11_01:35:00,0.0
2020-12-11_01:40:00,0.0
2020-12-11_01:45:00,0.0
2020-12-11_01:50:00,127.68
2020-12-11_01:55:00,124.24
2020-12-11_02:00:00,173.52
2020-12-11_02:05:00,175.6
2020-12-11_02:10:00,175.04
2020-12-11_02:15:00,172.88
2020-12-11_02:20:00,172.72
2020-12-11_02:25:00,168.24
2020-12-11_02:30:00,1.05
2020-12-11_02:35:00,147.28
2020-12-11_02:40:00,150.56
2020-12-11_02:50:00,144.96
2020-12-11_02:55:00,139.6
2020-12-11_03:00:00,134.64
2020-12-11_03:05:00,130.56
2020-12-11_03:10:00,130.16
2020-12-11_03:15:00,128.48
2020-12-11_03:20:00,127.04
2020-12-11_03:25:00,126.48
2020-12-11_03:30:00,123.92
2020-12-11_03:35:00,124.0
2020-12-11_03:40:00,122.24
2020-12-11_03:45:00,122.88
2020-12-11_03:50:00,120.56
2020-12-11_03:55:00,121.28
2020-12-11_04:00:00,0.0
2020-12-11_04:05:00,0.0
2020-12-11_04:10:00,0.0
2020-12-11_04:15:00,0.0
2020-12-11_04:20:00,129.52
2020-12-11_04:25:00,125.28
2020-12-11_04:30:00,123.28
2020-12-11_04:35:00,120.64
2020-12-11_04:40:00,119.44
2020-12-11_04:45:00,0.0
2020-12-11_04:50:00,0.0
2020-12-11_04:55:00,0.0
2020-12-11_05:00:00,0.0
2020-12-11_05:05:00,128.72
2020-12-11_05:10:00,125.36
2020-12-11_05:15:00,123.44
2020-12-11_05:20:00,122.4
